name,adm1name,latitude,longitude,pop_max,pop_min
Lobamba,Manzini,-26.466668,31.199997,"9782","4557"
Bir Lehlou,,26.119167,-9.652522,"500","200"
Moroni,,-11.704158,43.240244,"128698","42872"
Kigali,Kigali City,-1.951644,30.058586,"860000","745261"
Mbabane,Hhohho,-26.316651,31.133335,"90138","76218"
Juba,Central Equatoria,4.829975,31.580026,"111975","111975"
Dodoma,Dodoma,-6.183306,35.750004,"218269","180541"
Laayoune,Laâyoune - Boujdour - Sakia El Hamra,27.149982,-13.200006,"188084","176365"
Djibouti,Djibouti,11.595015,43.148002,"923000","604013"
Banjul,Banjul,13.453877,-16.591702,"43094","34589"
Porto-Novo,Ouémé,6.483311,2.616626,"300000","234168"
Bujumbura,Bujumbura Mairie,-3.376087,29.360006,"331700","331700"
Port Louis,,-20.166639,57.499994,"595491","148416"
Lomé,Maritime,6.133883,1.220811,"1452000","749700"
Tunis,Tunis,36.802778,10.179678,"2412500","728453"
Lusaka,Lusaka,-15.414698,28.281382,"1328000","1267440"
Harare,Harare,-17.815844,31.042764,"1572000","1542813"
Kampala,Kampala,0.318605,32.581378,"1420000","1353189"
Niamey,Niamey,13.518652,2.114710,"915000","742791"
Freetown,Western,8.471957,-13.236162,"827000","13768"
Bloemfontein,Orange Free State,-29.119994,26.229913,"463064","456669"
Pretoria,Gauteng,-25.704975,28.227483,"1338000","1338000"
Rabat,Rabat - Salé - Zemmour - Zaer,34.025307,-6.836408,"1705000","1655753"
Maputo,Maputo,-25.953332,32.587217,"1446000","1191613"
Mogadishu,Banaadir,2.068627,45.364732,"1100000","875388"
Windhoek,Khomas,-22.570006,17.083546,"268132","262796"
Abuja,Federal Capital Territory,9.085279,7.531382,"1576000","162135"
Bissau,Bissau,11.865024,-15.598361,"403339","388028"
Maseru,Maseru,-29.316674,27.483273,"361324","118355"
Antananarivo,Antananarivo,-18.914692,47.514678,"1697000","1391433"
N'Djamena,Hadjer-Lamis,12.115042,15.047203,"989000","681387"
Malabo,Bioko Norte,3.750015,8.783278,"155963","155963"
Asmara,Anseba,15.333339,38.933324,"620802","563930"
Lilongwe,Lilongwe,-13.983295,33.783302,"646750","646750"
Libreville,Estuaire,0.385389,9.457965,"578156","483355"
Nouakchott,Nouakchott,18.086427,-15.975340,"742144","661400"
Bamako,Bamako,12.651961,-8.001985,"1494000","1297281"
Brazzaville,Pool,-4.257240,15.282744,"1355000","1163890"
Conakry,Conakry,9.533469,-13.682181,"1494000","1494000"
Yamoussoukro,Lacs,6.818381,-5.275503,"206499","194530"
Bangui,Bangui,4.366644,18.558288,"831925","622771"
Yaoundé,Centre,3.868647,11.514705,"1611000","1060587"
Cotonou,Ouémé,6.401954,2.518045,"762000","690584"
Gaborone,South-East,-24.646314,25.911948,"208411","159243"
Ouagadougou,Kadiogo,12.372262,-1.526670,"1149000","835457"
Hargeisa,,9.560022,44.065310,"477876","247018"
Victoria,,-4.616632,55.449990,"33576","22881"
São Tomé,,0.333402,6.733325,"88219","56166"
Valletta,,35.899733,14.514711,"368250","6966"
Praia,,14.916698,-23.516689,"113364","88859"
Khartoum,Khartoum,15.590024,32.532233,"4754000","1974647"
Dar es Salaam,Dar-Es-Salaam,-6.798067,39.266396,"2930000","2698652"
Monrovia,Montserrado,6.314582,-10.799660,"1041000","785662"
Accra,Greater Accra,5.551981,-0.218662,"2121000","1963264"
Tripoli,Tajura' wa an Nawahi al Arba,32.892500,13.180012,"2189000","229398"
Abidjan,Lagunes,5.321943,-4.041994,"3802000","3190395"
Luanda,Luanda,-8.836340,13.232481,"5172900","1951272"
Algiers,Alger,36.765011,3.048607,"3354000","1977663"
Dakar,Dakar,14.717778,-17.475076,"2604000","2476400"
Johannesburg,Gauteng,-26.168099,28.028064,"3435000","2026469"
Casablanca,Grand Casablanca,33.601922,-7.618313,"3181000","3144909"
Kinshasa,Kinshasa City,-4.327778,15.313026,"7843000","5565703"
Addis Ababa,Addis Ababa,9.035256,38.698059,"3100000","2757729"
Cape Town,Western Cape,-33.918065,18.433042,"3215000","2432858"
Lagos,Lagos,6.445208,3.389585,"9466000","1536"
Nairobi,Nairobi,-1.281401,36.814711,"3010000","2750547"
Cairo,Al Qahirah,30.051906,31.248022,"11893000","7734614"
